users,concurrency,variant,complexity,p50_duration
100000,1,postgres_normal,delete,3.58
100000,1,postgres_normal,easy,1.7349999999999999
100000,1,postgres_normal,medium,4.445
100000,1,postgres_normal,update,3.575
100000,1,postgres_normal,very_complex,290.83
100000,1,postgres_optimized,complex,2.16
100000,1,postgres_optimized,create,3.45
100000,1,postgres_optimized,delete,3.5549999999999997
100000,1,postgres_optimized,easy,1.74
100000,1,postgres_optimized,medium,4.505
100000,1,postgres_optimized,update,3.475
100000,1,postgres_optimized,very_complex,223.96
100000,3,neo4j_normal,complex,215.03500000000003
100000,3,neo4j_normal,create,38.495
100000,3,neo4j_normal,delete,36.425
100000,3,neo4j_normal,easy,101.375
100000,3,neo4j_normal,medium,101.36500000000001
100000,3,neo4j_normal,update,25.485
100000,3,neo4j_normal,very_complex,577.495
100000,3,neo4j_optimized,complex,216.565
100000,3,neo4j_optimized,create,60.42
100000,3,neo4j_optimized,delete,54.92
100000,3,neo4j_optimized,easy,101.69999999999999
100000,3,neo4j_optimized,medium,101.12
100000,3,neo4j_optimized,update,43.76
100000,3,neo4j_optimized,very_complex,590.0550000000001
100000,3,postgres_normal,complex,61.739999999999995
100000,3,postgres_normal,create,26.17
100000,3,postgres_normal,delete,25.77
100000,3,postgres_normal,easy,24.32
100000,3,postgres_normal,medium,27.490000000000002
100000,3,postgres_normal,update,25.88
100000,3,postgres_normal,very_complex,343.7
100000,3,postgres_optimized,complex,25.46
100000,3,postgres_optimized,create,24.665
100000,3,postgres_optimized,delete,24.27
100000,3,postgres_optimized,easy,24.285
100000,3,postgres_optimized,medium,27.36
100000,3,postgres_optimized,update,24.34
100000,3,postgres_optimized,very_complex,285.985
100000,5,neo4j_normal,complex,246.22000000000003
100000,5,neo4j_normal,create,41.7
100000,5,neo4j_normal,delete,37.5
100000,5,neo4j_normal,easy,155.41500000000002
100000,5,neo4j_normal,medium,113.80000000000001
100000,5,neo4j_normal,update,27.65
100000,5,neo4j_normal,very_complex,732.62
100000,5,neo4j_optimized,complex,246.765
100000,5,neo4j_optimized,create,60.635
100000,5,neo4j_optimized,delete,60.535
100000,5,neo4j_optimized,easy,156.49
100000,5,neo4j_optimized,medium,113.28
100000,5,neo4j_optimized,update,44.51
100000,5,neo4j_optimized,very_complex,706.2750000000001
100000,5,postgres_normal,complex,91.97999999999999
100000,5,postgres_normal,create,45.585
100000,5,postgres_normal,delete,45.275000000000006
100000,5,postgres_normal,easy,45.870000000000005
100000,5,postgres_normal,medium,50.129999999999995
100000,5,postgres_normal,update,45.095
100000,5,postgres_normal,very_complex,380.625
100000,5,postgres_optimized,complex,47.235
100000,5,postgres_optimized,create,46.115
100000,5,postgres_optimized,delete,45.885
100000,5,postgres_optimized,easy,45.3
100000,5,postgres_optimized,medium,49.349999999999994
100000,5,postgres_optimized,update,45.915
100000,5,postgres_optimized,very_complex,323.275
100000,10,neo4j_normal,complex,333.71500000000003
100000,10,neo4j_normal,create,45.99
100000,10,neo4j_normal,delete,41.03
