users,concurrency,complexity,variant_1,variant_2,t_stat,p_value,significant
1000,5,very_complex,neo4j_normal,postgres_normal,-34.41982258203443,6.2889672638192675e-78,True
1000,5,very_complex,neo4j_normal,postgres_optimized,-33.96071124220676,1.600740336170165e-78,True
1000,5,very_complex,neo4j_optimized,postgres_normal,-37.8493453025383,5.728566215901986e-85,True
1000,5,very_complex,neo4j_optimized,postgres_optimized,-37.297001779779684,7.344540577010464e-86,True
1000,5,very_complex,postgres_normal,postgres_optimized,0.41410833949092724,0.6790978856744867,False
1000,10,complex,neo4j_normal,neo4j_optimized,-0.2938952351759659,0.7690428029379924,False
1000,10,complex,neo4j_normal,postgres_normal,2.7985528714661716,0.00580995378300399,True
1000,10,complex,neo4j_normal,postgres_optimized,2.9316368285474264,0.0039029963050813614,True
1000,10,complex,neo4j_optimized,postgres_normal,3.1099808773104765,0.0022410044473105553,True
1000,10,complex,neo4j_optimized,postgres_optimized,3.238542378552946,0.0014807697737245138,True
1000,10,complex,postgres_normal,postgres_optimized,2.502405190444788,0.012918237654774295,True
1000,10,create,neo4j_normal,neo4j_optimized,-0.7590558019562134,0.4482962546241318,False
1000,10,create,neo4j_normal,postgres_normal,-131.71388901790553,1.9369968970177573e-279,True
1000,10,create,neo4j_normal,postgres_optimized,-135.65913061047095,1.9959800753530012e-271,True
1000,10,create,neo4j_optimized,postgres_normal,-156.334313937571,0.0,True
1000,10,create,neo4j_optimized,postgres_optimized,-162.6238310158522,0.0,True
1000,10,create,postgres_normal,postgres_optimized,-1.3902221712864349,0.1652456232082089,False
1000,10,delete,neo4j_normal,neo4j_optimized,-0.8984263764172414,0.369541503080529,False
1000,10,delete,neo4j_normal,postgres_normal,-164.30567692563616,1.2566754475493657e-269,True
1000,10,delete,neo4j_normal,postgres_optimized,-179.3292518504479,8.968240318558146e-291,True
1000,10,delete,neo4j_optimized,postgres_normal,-155.37256799410477,7.462595682088918e-296,True
1000,10,delete,neo4j_optimized,postgres_optimized,-168.08361208934187,1.1443e-320,True
1000,10,delete,postgres_normal,postgres_optimized,-0.6274905884506022,0.5307010098065061,False
1000,10,easy,neo4j_normal,neo4j_optimized,0.014689618911787505,0.9882896312680497,False
1000,10,easy,neo4j_normal,postgres_normal,5.923349410508426,2.0953075031824732e-08,True
1000,10,easy,neo4j_normal,postgres_optimized,5.925915266495726,2.0690353637909038e-08,True
1000,10,easy,neo4j_optimized,postgres_normal,5.931894247746939,2.008954102588221e-08,True
1000,10,easy,neo4j_optimized,postgres_optimized,5.934472912979294,1.983619375938975e-08,True
1000,10,easy,postgres_normal,postgres_optimized,0.16874180446624176,0.8661142554041951,False
1000,10,medium,neo4j_normal,neo4j_optimized,-1.420582861045947,0.15670743988572758,False
1000,10,medium,neo4j_normal,postgres_normal,7.019589774415221,7.307644800529109e-11,True
1000,10,medium,neo4j_normal,postgres_optimized,6.975708043021451,9.223660726580822e-11,True
1000,10,medium,neo4j_optimized,postgres_normal,5.91390364229632,2.1949603547216703e-08,True
1000,10,medium,neo4j_optimized,postgres_optimized,5.887825456919549,2.4934836586732958e-08,True
1000,10,medium,postgres_normal,postgres_optimized,-1.24094595325085,0.21577967475304835,False
1000,10,update,neo4j_normal,neo4j_optimized,0.18776187897158378,0.8511592223489022,False
1000,10,update,neo4j_normal,postgres_normal,2.8482753730166244,0.004857018117369973,True
