users,concurrency,variant,query_no,p50_duration
1000,5,neo4j_optimized,7,159.635
1000,5,neo4j_optimized,8,8.12
1000,5,neo4j_optimized,9,33.575
1000,5,neo4j_optimized,10,7.2
1000,5,neo4j_optimized,11,27.799999999999997
1000,5,neo4j_optimized,12,9.47
1000,5,neo4j_optimized,13,12.120000000000001
1000,5,neo4j_optimized,14,12.215
1000,5,neo4j_optimized,15,12.254999999999999
1000,5,neo4j_optimized,16,15.515
1000,5,neo4j_optimized,17,459.77
1000,5,neo4j_optimized,18,2.815
1000,5,neo4j_optimized,19,16.65
1000,5,neo4j_optimized,20,16.485
1000,5,neo4j_optimized,21,12.2
1000,5,neo4j_optimized,22,11.93
1000,5,neo4j_optimized,23,12.59
1000,5,neo4j_optimized,24,14.4
1000,5,postgres_normal,1,91.655
1000,5,postgres_normal,2,43.565
1000,5,postgres_normal,3,45.230000000000004
1000,5,postgres_normal,4,48.335
1000,5,postgres_normal,5,72.765
1000,5,postgres_normal,6,44.1
1000,5,postgres_normal,7,48.775
1000,5,postgres_normal,8,46.495000000000005
1000,5,postgres_normal,9,44.975
1000,5,postgres_normal,10,47.385
1000,5,postgres_normal,11,48.595
1000,5,postgres_normal,12,47.29
1000,5,postgres_normal,13,45.040000000000006
1000,5,postgres_normal,14,44.925
1000,5,postgres_normal,15,45.364999999999995
1000,5,postgres_normal,16,45.0
1000,5,postgres_normal,17,44.595
1000,5,postgres_normal,18,44.625
1000,5,postgres_normal,19,44.56
1000,5,postgres_normal,20,44.64
1000,5,postgres_normal,21,44.89
1000,5,postgres_normal,22,45.72
1000,5,postgres_normal,23,45.095
1000,5,postgres_normal,24,44.870000000000005
1000,5,postgres_optimized,1,88.005
1000,5,postgres_optimized,2,43.83
1000,5,postgres_optimized,3,45.29
1000,5,postgres_optimized,4,48.14
1000,5,postgres_optimized,5,79.70500000000001
1000,5,postgres_optimized,6,44.495000000000005
1000,5,postgres_optimized,7,46.45
1000,5,postgres_optimized,8,47.49
1000,5,postgres_optimized,9,45.510000000000005
1000,5,postgres_optimized,10,47.5
1000,5,postgres_optimized,11,49.230000000000004
1000,5,postgres_optimized,12,46.980000000000004
1000,5,postgres_optimized,13,45.72
1000,5,postgres_optimized,14,45.295
1000,5,postgres_optimized,15,45.495000000000005
1000,5,postgres_optimized,16,45.485
1000,5,postgres_optimized,17,44.935
1000,5,postgres_optimized,18,44.94499999999999
1000,5,postgres_optimized,19,44.894999999999996
1000,5,postgres_optimized,20,45.84
1000,5,postgres_optimized,21,44.93
1000,5,postgres_optimized,22,44.915
1000,5,postgres_optimized,23,45.254999999999995
1000,5,postgres_optimized,24,44.92
1000,10,neo4j_normal,1,10622.76
1000,10,neo4j_normal,2,72.36
1000,10,neo4j_normal,3,264.82
1000,10,neo4j_normal,4,2134.925
1000,10,neo4j_normal,5,6.345000000000001
1000,10,neo4j_normal,6,69.255
1000,10,neo4j_normal,7,316.57
1000,10,neo4j_normal,8,14.605
1000,10,neo4j_normal,9,62.54
1000,10,neo4j_normal,10,10.260000000000002
1000,10,neo4j_normal,11,43.37
1000,10,neo4j_normal,12,10.39
1000,10,neo4j_normal,13,12.56
1000,10,neo4j_normal,14,12.58
1000,10,neo4j_normal,15,12.52
1000,10,neo4j_normal,16,13.864999999999998
1000,10,neo4j_normal,17,494.855
1000,10,neo4j_normal,18,4.65
1000,10,neo4j_normal,19,22.994999999999997
1000,10,neo4j_normal,20,23.15
1000,10,neo4j_normal,21,12.14
1000,10,neo4j_normal,22,12.43
1000,10,neo4j_normal,23,12.629999999999999
1000,10,neo4j_normal,24,13.035
1000,10,neo4j_optimized,1,10563.645
1000,10,neo4j_optimized,2,73.19
1000,10,neo4j_optimized,3,266.275
1000,10,neo4j_optimized,4,2063.645
1000,10,neo4j_optimized,5,6.2
1000,10,neo4j_optimized,6,69.28999999999999
1000,10,neo4j_optimized,7,319.625
1000,10,neo4j_optimized,8,14.53
1000,10,neo4j_optimized,9,63.42
1000,10,neo4j_optimized,10,9.504999999999999
1000,10,neo4j_optimized,11,40.23
1000,10,neo4j_optimized,12,12.05
