users,concurrency,variant,complexity,duration_ms_mean,duration_ms_std,duration_ms_var,avg_cpu_mean,avg_cpu_std,avg_cpu_var,avg_mem_mean,avg_mem_std,avg_mem_var
10000,10,postgres_normal,easy,152.8648,137.23528101522894,18833.522355328856,8.023333333333333,0.795131719843678,0.6322344519015652,2207.5067333333336,708.6562606494874,502193.6957577142
10000,10,postgres_normal,medium,264.995,234.15064964360766,54826.52672852351,28.781666666666666,29.80161908165634,888.1364998881434,2207.8342000000002,708.9919567412963,502669.5947238522
10000,10,postgres_normal,complex,122.34713333333333,18.020693263212728,324.7453856868006,18.061466666666664,6.6583490896432105,44.333612599552566,2215.415,708.9266173284169,502576.9487567116
10000,10,postgres_normal,very_complex,138.30113333333333,11.445879627704517,131.00816045190132,24.32,3.527006830331925,12.439777181208052,2215.7826,709.0062939189505,502689.92481668526
10000,10,postgres_normal,create,98.71334999999999,4.395635715595769,19.321613344221124,7.588550000000001,0.34934885229955326,0.12204462060301509,2216.1581,708.1362363390764,501456.9292164722
10000,10,postgres_normal,update,98.52795,4.78142998074886,22.862072660804046,7.341900000000001,0.3582809178290159,0.12836521608040202,2216.4114,708.0268800855362,501302.06292365823
10000,10,postgres_normal,delete,98.15115,3.880421955181062,15.057674550251216,7.435549999999999,0.33198307382535724,0.11021276130653258,2216.9360500000003,708.7155504872242,502277.7315024092
10000,10,postgres_optimized,easy,150.10546666666667,135.2847562487019,18301.96527327069,8.303733333333334,1.0550457521595396,1.1131215391498885,4862.8189999999995,2277.836937608549,5188541.114333892
10000,10,postgres_optimized,medium,114.21946666666666,18.46611715914104,340.9974829351231,17.6082,13.529816393343404,183.0559316375839,4864.937133333333,2279.6577723354835,5196839.55896958
10000,10,postgres_optimized,complex,107.84173333333334,12.353442187833448,152.60753388814325,12.574533333333333,5.963682546238042,35.56550951230425,4869.001333333333,2281.6826293932113,5206075.621274719
10000,10,postgres_optimized,very_complex,132.9528,15.306684775574096,234.2945988187918,22.802333333333333,4.595853604929322,21.12187035794184,4886.991666666667,2292.009823354804,5253309.03035492
10000,10,postgres_optimized,create,99.39655,3.9230105347524726,15.390011655778881,7.85,0.32651348406517894,0.10661105527638184,4921.12165,2317.4336678420846,5370498.804848018
10000,10,postgres_optimized,update,98.31835,4.233404462630646,17.921713344221065,7.6591,0.4178903585377319,0.17463235175879407,4934.9802500000005,2328.2713053970137,5420847.271535113
