users,concurrency,query_no,variant_1,variant_2,t_stat,p_value,significant,cohen_d
1000,1,5,neo4j_normal,postgres_optimized,-23.640616790991523,1.1374969198775988e-31,True,-4.728123358198305
1000,1,5,neo4j_optimized,postgres_normal,-21.930814252008467,2.604154574835271e-31,True,-4.386162850401694
1000,1,5,neo4j_optimized,postgres_optimized,-25.442132346645106,8.17654481981837e-34,True,-5.088426469329021
1000,1,5,postgres_normal,postgres_optimized,-6.4595709916422726,4.316407264267656e-09,True,-1.2919141983284546
1000,1,6,neo4j_normal,neo4j_optimized,-1.9439257627069224,0.054786425405060755,False,-0.3887851525413846
1000,1,6,neo4j_normal,postgres_normal,47.78690117675097,7.19913878353176e-43,True,9.557380235350196
1000,1,6,neo4j_normal,postgres_optimized,47.84929000309736,7.127049391849909e-43,True,9.569858000619474
1000,1,6,neo4j_optimized,postgres_normal,47.214447815414694,1.324634546633311e-42,True,9.44288956308294
1000,1,6,neo4j_optimized,postgres_optimized,47.27197086661056,1.307428989771993e-42,True,9.454394173322113
1000,1,6,postgres_normal,postgres_optimized,1.0030252947589584,0.31836047739829,False,0.2006050589517917
1000,1,7,neo4j_normal,neo4j_optimized,-0.16492211048303076,0.8696087853094021,False,-0.03298442209660616
1000,1,7,neo4j_normal,postgres_normal,20.690080328876984,7.155414873331473e-26,True,4.138016065775397
1000,1,7,neo4j_normal,postgres_optimized,22.041205905913863,4.393874985679309e-27,True,4.408241181182773
1000,1,7,neo4j_optimized,postgres_normal,83.25658444868454,9.47289376124794e-55,True,16.65131688973691
1000,1,7,neo4j_optimized,postgres_optimized,88.79028964077565,8.000135202422442e-56,True,17.758057928155132
1000,1,7,postgres_normal,postgres_optimized,85.1603830376214,8.134293362852566e-62,True,17.032076607524278
1000,1,8,neo4j_normal,neo4j_optimized,0.6381545480021418,0.5249743927527692,False,0.12763090960042836
1000,1,8,neo4j_normal,postgres_normal,15.207808606333451,3.1568265245766347e-20,True,3.04156172126669
1000,1,8,neo4j_normal,postgres_optimized,14.634083529332148,1.3797245801620382e-19,True,2.9268167058664294
1000,1,8,neo4j_optimized,postgres_normal,19.108644417524786,1.8914587853283528e-24,True,3.8217288835049565
1000,1,8,neo4j_optimized,postgres_optimized,18.33579865650564,9.331154036380933e-24,True,3.6671597313011284
1000,1,8,postgres_normal,postgres_optimized,-7.344888798192833,9.502581139669275e-11,True,-1.4689777596385665
1000,1,9,neo4j_normal,neo4j_optimized,0.8420568823172724,0.4021468731588155,False,0.16841137646345447
1000,1,9,neo4j_normal,postgres_normal,25.872649257200987,3.0383743983273785e-30,True,5.174529851440197
1000,1,9,neo4j_normal,postgres_optimized,25.727382835485983,3.9426999467808815e-30,True,5.145476567097196
1000,1,9,neo4j_optimized,postgres_normal,38.34573684145877,2.939052998306194e-38,True,7.669147368291754
1000,1,9,neo4j_optimized,postgres_optimized,38.122636411553536,3.917506702416986e-38,True,7.624527282310707
1000,1,9,postgres_normal,postgres_optimized,-5.172452552014761,1.228602414027734e-06,True,-1.034490510402952
1000,1,10,neo4j_normal,neo4j_optimized,0.8368961667461468,0.40501492230201386,False,0.16737923334922933
1000,1,10,neo4j_normal,postgres_normal,13.174996043584583,9.790807518458853e-18,True,2.6349992087169167
1000,1,10,neo4j_normal,postgres_optimized,14.506334120797181,2.2065076130812495e-19,True,2.901266824159436
1000,1,10,neo4j_optimized,postgres_normal,18.628614713608794,6.343297387468876e-24,True,3.7257229427217586
1000,1,10,neo4j_optimized,postgres_optimized,20.66070906534101,6.481442064805582e-26,True,4.132141813068202
