users,concurrency,variant,complexity,n,mean,std,ci_lower,ci_upper
1000,5,neo4j_normal,complex,150,68.9052,68.38482718327148,57.871937250843224,79.93846274915676
1000,5,neo4j_normal,create,200,11.83185,3.2965153030459424,11.372189231781121,12.291510768218878
1000,5,neo4j_normal,delete,200,11.675449999999998,7.496557923540978,10.630142074097694,12.720757925902301
1000,5,neo4j_normal,easy,150,3140.8082,6279.085365593531,2127.735541684857,4153.880858315143
1000,5,neo4j_normal,medium,150,441.0702666666666,606.3387083771236,343.2430941773626,538.8974391559706
1000,5,neo4j_normal,update,200,151.82235,383.943545361949,98.28588230919816,205.35881769080186
1000,5,neo4j_normal,very_complex,150,15.888799999999998,11.265909789384537,14.07114909797383,17.706450902026166
1000,5,neo4j_optimized,complex,150,70.2562,72.2536142443347,58.59874405004957,81.91365594995045
1000,5,neo4j_optimized,create,200,12.1475,6.389806875762972,11.256515652204136,13.038484347795865
1000,5,neo4j_optimized,delete,200,11.8449,2.905640328497828,11.439742206759673,12.250057793240329
1000,5,neo4j_optimized,easy,150,3139.2445333333335,6280.098819896056,2126.0083634899083,4152.480703176759
1000,5,neo4j_optimized,medium,150,453.128,635.4521763332875,350.60363728984987,555.6523627101501
1000,5,neo4j_optimized,update,200,146.29575,298.5402974145018,104.66777323100224,187.92372676899777
1000,5,neo4j_optimized,very_complex,150,15.128333333333334,10.432515729770149,13.445142895887551,16.811523770779118
1000,5,postgres_normal,complex,150,47.59506666666667,4.349045216001754,46.89338823078332,48.29674510255001
1000,5,postgres_normal,create,200,45.516549999999995,3.1903523847995197,45.07169241759142,45.96140758240857
1000,5,postgres_normal,delete,200,45.552550000000004,3.2979809565016045,45.09268486343108,46.012415136568926
1000,5,postgres_normal,easy,150,75.17699999999999,70.12082480123412,63.86365000576531,86.49034999423468
1000,5,postgres_normal,medium,150,55.338266666666655,13.709508518580419,53.12636358995167,57.55016974338164
1000,5,postgres_normal,update,200,44.556450000000005,1.9562167100254804,44.283678302291804,44.829221697708206
1000,5,postgres_normal,very_complex,150,48.53266666666667,2.828346605176894,48.076338961736305,48.98899437159704
1000,5,postgres_optimized,complex,150,47.09146666666667,3.0803007755751626,46.594488474234154,47.588444859099184
1000,5,postgres_optimized,create,200,45.9572,3.6483985830917005,45.44847319569151,46.46592680430849
1000,5,postgres_optimized,delete,200,45.163000000000004,2.6277072184949857,44.796596750607634,45.529403249392374
1000,5,postgres_optimized,easy,150,75.05039999999998,72.74553485575363,63.31357718489735,86.78722281510262
1000,5,postgres_optimized,medium,150,58.27260000000001,16.724659863717616,55.57422999210135,60.97097000789867
1000,5,postgres_optimized,update,200,45.5712,2.91984142200364,45.164062029223594,45.9783379707764
1000,5,postgres_optimized,very_complex,150,48.38746666666666,3.2314034158232525,47.86610945332238,48.90882388001094
1000,10,neo4j_normal,complex,150,132.23613333333333,134.4466638978844,110.54440097642538,153.92786569024128
1000,10,neo4j_normal,create,200,13.240050000000002,7.87311208908756,12.142235969590544,14.33786403040946
1000,10,neo4j_normal,delete,200,11.835799999999999,2.74353316567447,11.453246167653868,12.21835383234613
1000,10,neo4j_normal,easy,150,6317.674133333333,12751.181795750255,4260.388257071113,8374.960009595554
1000,10,neo4j_normal,medium,150,804.8282666666667,1213.6639685611306,609.014750629955,1000.6417827033783
1000,10,neo4j_normal,update,200,142.43975,222.9113371873913,111.35735326379243,173.5221467362076
1000,10,neo4j_normal,very_complex,150,23.20513333333333,16.586255033079993,20.52909367158126,25.881172995085397
1000,10,neo4j_optimized,complex,150,136.88126666666668,139.26851936084466,114.41157229022011,159.35096104311324
1000,10,neo4j_optimized,create,200,13.77485,6.106957723834636,12.923305680996148,14.626394319003854
1000,10,neo4j_optimized,delete,200,12.124600000000001,3.624798845917775,11.619163904916828,12.630036095083174
1000,10,neo4j_optimized,easy,150,6296.098733333333,12688.262835796584,4248.96425242687,8343.233214239797
1000,10,neo4j_optimized,medium,150,1076.511,2003.335504053764,753.2912464177816,1399.7307535822183
1000,10,neo4j_optimized,update,200,138.35,212.59812609497638,108.70566075715902,167.99433924284097
1000,10,neo4j_optimized,very_complex,150,21.2086,14.654633325082463,18.844209730578708,23.572990269421293
1000,10,postgres_normal,complex,150,101.48726666666667,5.7090768299751655,100.56615964169129,102.40837369164205
1000,10,postgres_normal,create,200,97.85895000000001,4.534441996386431,97.22667473357639,98.49122526642363
1000,10,postgres_normal,delete,200,94.63159999999999,6.577136845575523,93.7144946638517,95.54870533614829
1000,10,postgres_normal,easy,150,150.33973333333333,137.7413442045783,128.11643461886473,172.56303204780193
1000,10,postgres_normal,medium,150,109.10526666666668,22.070735633524354,105.54435651536605,112.66617681796731
1000,10,postgres_normal,update,200,97.53564999999999,4.458758821538032,96.91392787320837,98.15737212679161
1000,10,postgres_normal,very_complex,150,103.50346666666665,5.213896375873279,102.66225245247092,104.34468088086238
1000,10,postgres_optimized,complex,150,100.03826666666667,4.207142336529753,99.35948295492851,100.71705037840483
1000,10,postgres_optimized,create,200,98.46095000000001,4.115925999293268,97.88703192808356,99.03486807191646
1000,10,postgres_optimized,delete,200,95.0254,5.959226859569879,94.19445503404476,95.85634496595524
1000,10,postgres_optimized,easy,150,147.68226666666664,135.0208426373706,125.8978958523893,169.46663748094397
1000,10,postgres_optimized,medium,150,113.28399999999999,34.839161757228155,107.6630217587637,118.90497824123628
