users,concurrency,variant,query_no,n,mean,std,ci_lower,ci_upper
1000,1,neo4j_optimized,2,50,9.869,1.3840450181424366,9.475658757979389,10.26234124202061
1000,1,neo4j_optimized,3,50,24.351000000000003,1.9161283775320677,23.806442340379256,24.89555765962075
1000,1,neo4j_optimized,4,50,634.2028,527.7394029719052,484.2209211541907,784.1846788458093
1000,1,neo4j_optimized,5,50,10.1344,2.1557612983607912,9.52173941780647,10.747060582193528
1000,1,neo4j_optimized,6,50,10.094600000000002,1.359003551526347,9.708375464048684,10.480824535951319
1000,1,neo4j_optimized,7,50,33.826600000000006,2.521776673664172,33.10991899908217,34.543281000917844
1000,1,neo4j_optimized,8,50,5.505400000000001,1.300303277026132,5.135857897478381,5.87494210252162
1000,1,neo4j_optimized,9,50,10.179,1.5980233325670097,9.724846793875649,10.633153206124351
1000,1,neo4j_optimized,10,50,8.0596,1.8788912927032044,7.525625002795442,8.593574997204557
1000,1,neo4j_optimized,11,50,21.6658,2.55312860496086,20.940208878793925,22.391391121206077
1000,1,neo4j_optimized,12,50,10.783,2.337136089756182,10.118793272425707,11.447206727574292
1000,1,neo4j_optimized,13,50,12.9424,3.0475500766005066,12.076295851264364,13.808504148735635
1000,1,neo4j_optimized,14,50,13.2578,3.585314314630431,12.238864945818204,14.276735054181795
1000,1,neo4j_optimized,15,50,12.513,3.129705763049509,11.623547463514466,13.402452536485534
1000,1,neo4j_optimized,16,50,15.462599999999998,3.575987267703216,14.446315663225977,16.47888433677402
1000,1,neo4j_optimized,17,50,453.05840000000006,213.18735705860382,392.47122349249946,513.6455765075007
1000,1,neo4j_optimized,18,50,4.4117999999999995,3.461332579295118,3.4281001651394027,5.395499834860596
1000,1,neo4j_optimized,19,50,11.475,2.7176972920891265,10.70263897539901,12.24736102460099
1000,1,neo4j_optimized,20,50,11.0658,2.58885688271555,10.330055014603763,11.801544985396236
1000,1,neo4j_optimized,21,50,11.178600000000001,3.2594121230300264,10.252285323870206,12.104914676129797
