users,concurrency,variant_1,variant_2,t_stat,p_value,significant
100000,1,neo4j_optimized,postgres_optimized,16.813568184650975,1.7692151146510662e-57,True
100000,1,postgres_normal,postgres_optimized,2.3600414903132987,0.018353388640872843,True
100000,3,neo4j_normal,neo4j_optimized,-0.2061234788454638,0.8367119586861219,False
100000,3,neo4j_normal,postgres_normal,9.409237027035068,2.4094954367215836e-20,True
100000,3,neo4j_normal,postgres_optimized,9.62162111521875,3.608106944966853e-21,True
100000,3,neo4j_optimized,postgres_normal,9.80056207265582,7.054645370111678e-22,True
100000,3,neo4j_optimized,postgres_optimized,10.015364113265479,9.680522089019308e-23,True
100000,3,postgres_normal,postgres_optimized,1.8449137650550627,0.0651736908462791,False
100000,5,neo4j_normal,neo4j_optimized,-0.09773450309239667,0.9221512851185157,False
100000,5,neo4j_normal,postgres_normal,8.024947727903045,2.3898383509794743e-15,True
100000,5,neo4j_normal,postgres_optimized,8.147333142217112,9.219680640198329e-16,True
100000,5,neo4j_optimized,postgres_normal,8.17607317995995,7.356433541795361e-16,True
100000,5,neo4j_optimized,postgres_optimized,8.298667136144507,2.7899791315189866e-16,True
100000,5,postgres_normal,postgres_optimized,1.5396140855105378,0.1237864361497929,False
100000,10,neo4j_normal,neo4j_optimized,-0.06449943695561225,0.948577931510297,False
100000,10,neo4j_normal,postgres_normal,7.072216610362504,2.5816669863873485e-12,True
100000,10,neo4j_normal,postgres_optimized,7.195066093567861,1.0962455023535915e-12,True
100000,10,neo4j_optimized,postgres_normal,7.146361306706296,1.541824624177964e-12,True
100000,10,neo4j_optimized,postgres_optimized,7.268920206067013,6.509223603687436e-13,True
100000,10,postgres_normal,postgres_optimized,2.5830815002918035,0.009851078522312132,True
